DateTime,Value
2023-03-29T21:00:00,47.240
2023-03-29T22:00:00,47.250
2023-03-29T23:00:00,47.230
2023-03-30T00:00:00,47.220
2023-03-30T01:00:00,47.240
2023-03-30T02:00:00,47.240
2023-03-30T03:00:00,47.260
2023-03-30T04:00:00,47.250
2023-03-30T05:00:00,47.250
2023-03-30T06:00:00,47.250
2023-03-30T07:00:00,47.230
2023-03-30T08:00:00,46.880
2023-03-30T09:00:00,46.850
2023-03-30T10:00:00,46.930
2023-03-30T11:00:00,46.910
2023-03-30T12:00:00,46.920
2023-03-30T13:00:00,46.920
2023-03-30T14:00:00,46.920
2023-03-30T15:00:00,46.950
2023-03-30T16:00:00,46.900
2023-03-30T17:00:00,46.950
2023-03-30T18:00:00,46.970
2023-03-30T19:00:00,46.970
2023-03-30T20:00:00,46.930
2023-03-30T21:00:00,46.920
2023-03-30T22:00:00,46.960
2023-03-30T23:00:00,46.930
2023-03-31T00:00:00,46.950
2023-03-31T01:00:00,46.930
2023-03-31T02:00:00,46.970
2023-03-31T03:00:00,46.940
2023-03-31T04:00:00,46.950
2023-03-31T05:00:00,46.990
2023-03-31T06:00:00,46.970
2023-03-31T07:00:00,46.950
2023-03-31T08:00:00,46.990
2023-03-31T09:00:00,46.990
2023-03-31T10:00:00,46.980
2023-03-31T11:00:00,47.020
2023-03-31T12:00:00,47.070
2023-03-31T13:00:00,47.050
2023-03-31T14:00:00,47.080
2023-03-31T15:00:00,47.070
2023-03-31T16:00:00,47.080
2023-03-31T17:00:00,47.100
2023-03-31T18:00:00,47.090
2023-03-31T19:00:00,47.110
2023-03-31T20:00:00,47.140
2023-03-31T21:00:00,47.190
2023-03-31T22:00:00,47.160
2023-03-31T23:00:00,47.230
2023-04-01T00:00:00,47.210
2023-04-01T01:00:00,47.230
2023-04-01T02:00:00,47.250
2023-04-01T03:00:00,47.240
2023-04-01T04:00:00,47.250
2023-04-01T05:00:00,47.300
2023-04-01T06:00:00,47.280
2023-04-01T07:00:00,47.280
2023-04-01T08:00:00,47.340
2023-04-01T09:00:00,47.370
2023-04-01T10:00:00,47.350
2023-04-01T11:00:00,47.350
2023-04-01T12:00:00,47.370
2023-04-01T13:00:00,47.400
2023-04-01T14:00:00,47.390
2023-04-01T15:00:00,47.420
2023-04-01T16:00:00,47.390
2023-04-01T17:00:00,47.420
2023-04-01T18:00:00,47.430
2023-04-01T19:00:00,47.450
2023-04-01T20:00:00,47.490
2023-04-01T21:00:00,47.510
2023-04-01T22:00:00,47.510
2023-04-01T23:00:00,47.530
2023-04-02T00:00:00,47.550
2023-04-02T01:00:00,47.560
2023-04-02T02:00:00,47.560
2023-04-02T03:00:00,47.590
2023-04-02T04:00:00,47.630
2023-04-02T05:00:00,47.640
2023-04-02T06:00:00,47.630
2023-04-02T07:00:00,47.670
2023-04-02T08:00:00,47.710
2023-04-02T09:00:00,47.710
2023-04-02T10:00:00,47.750
2023-04-02T11:00:00,47.780
2023-04-02T12:00:00,47.800
2023-04-02T13:00:00,47.790
2023-04-02T14:00:00,47.820
2023-04-02T15:00:00,47.840
2023-04-02T16:00:00,47.880
2023-04-02T17:00:00,47.880
2023-04-02T18:00:00,47.910
2023-04-02T19:00:00,47.930
2023-04-02T20:00:00,48.000
